year,month,58504f5d006cb93ed40eec39,58504f5d006cb93ed40eec3b,58504f5d006cb93ed40eec3a,58504f5d006cb93ed40eec55,58504f5d006cb93ed40eec5a,58504f5d006cb93ed40eec3c,58504f5d006cb93ed40eec3d,58504f5d006cb93ed40eec3e,58504f5d006cb93ed40eec40,58504f5d006cb93ed40eec3f,58504f5d006cb93ed40eec41,58504f5d006cb93ed40eec42,58504f5d006cb93ed40eec43,58504f5d006cb93ed40eec44,58504f5d006cb93ed40eec45,58504f5d006cb93ed40eec46,58504f5d006cb93ed40eec49,58504f5d006cb93ed40eec47,58504f5d006cb93ed40eec48,58504f5d006cb93ed40eec4b,58504f5d006cb93ed40eec4a,58504f5d006cb93ed40eec4c,58504f5d006cb93ed40eec4d,58504f5d006cb93ed40eec4e,58504f5d006cb93ed40eec4f,58504f5d006cb93ed40eec50,58504f5d006cb93ed40eec51,58504f5d006cb93ed40eec52,58504f5d006cb93ed40eec54,58504f5d006cb93ed40eec56,58504f5d006cb93ed40eec53,58504f5d006cb93ed40eec57,58504f5d006cb93ed40eec59,58504f5d006cb93ed40eec58
1981,1,98,49.0757564,58,46,47,76.4,68,96,34.9,17,32.5,36.0700178,59.18063667,27,30,113,60.5,7,58.9,10.6,63,60,38.8,99.9,63.4,83,64.5,72,79,67.1,40.5,69.6,10,45
1981,2,94,118.6748562,82.5,85,188,273.6,148,150,148.5,208,147.7,107.2793271,174.8274039,131,294,149,143.3,143,145.1,163.5,119,125,153.3,158.6,187.3,127,110,269,152.4,298.8,141.8,189.2,310,281
1981,3,126.6595242,129.627441,155.8,95,101,160.8,151,135,180.3,137,179.3,56.97605578,185.5983789,69,170,122,36.6,62,31.8,25.8,78,76,108.3,105.3,100.1,35,58.5,200,154.3,127.3,100.8,40.3,146,133
1981,4,193.1073618,199.0180557,282,343,435,417.6,284,152,303.8,329,252.9,282.7237541,308.0387827,395,413,299,288.9,502.1,249.9,239.4,328,229.6,255.3,268.4,271,125.7,329,547,493.8,305.3,233.9,193.4,400,476
1981,5,266.9424437,275.0653731,284.7,317,405,492.2,294,221,332.7,280,341.2,324.2055909,467.196012,400,320,347,384.2,331.9,332.7,278.1,428,259.1,324.8,394.7,431.4,301.6,298,560,359.3,428.2,343.7,210.4,656,497
1981,6,28.7830291,45.21380206,93,45,51,390.4,105,165,122.2,177,182.3,112.3347682,156.1001793,195,101,103,74.7,81.3,74.1,111.5023612,211,140.7,204.4,256.5,154.2,93,189,211,84.3,115.7,80.4,75.4,93,229
1981,7,14,19.43781149,3.3,21,0,47.1,63,46,83.4,101,31.7,14.2231185,43.61942836,36,28,23,44.4,8.7,54.6,6.6,55,16,50.1,52.7,25.4,12.5,20,77,29.4,87.3,53.2,5.5,20,106
1981,8,20,38.9862036,77.3,137,100,112.7,106,145,46.9,110,134.9,111.8026789,166.2025515,232,97,254,122.2,134.6,160.9,160.0195085,158,204.5,117.7,150.6,197.1,135.1,185,147,96.5,101,171.8,48,162,295
1981,9,13,10.2,7.4,0,5,16.2,12,134,8.4,37,55.9,28.36655243,44.6733914,177,22,57,25.3,65.1,36.4,37.5,21,171,42.7,98.5,218.2,150.9,152,91,24.5,43.7,36.9,3.6,35,72
1981,10,139,215.9,263.2,194,243,360,394,226,333.4,314,304.9,243.0941977,431.1308019,244,267,201,158,280.4,239.5,185.2,285,338,195.3,247.2,338.9,178.9,347,269,416.5,313.9,168.2,307.1,477,453
1981,11,301,529.1,152.3,327,269,328.9,545,182,493.4,257,467.4,135.7908709,374.3557503,310,187,301,132.8,206.9,111.6,60.7,519.5,126,144.1,217.3,169.9,180.7,153,381,336.1,362.5,346.9,375.6,490,481
1981,12,101,172.7,24.2,39,83,185,135,108,177.2,58,161,52.35471144,154.8521506,114,114,88,46.7,269.9,68.8,109.6,58,65,40.3,77,99,49,42,196,197,163.2,63,144.7,225,373
1982,1,104,121.4,41.9,64,4.2,114.4,189,12.1,233.1,211,253.8,57.82727138,122.9858215,180,11.7,64,85.7,135.1,76.7,70.8,128.5,66,56,106.2,80,119.9,68,428,303.3,429.2,147.9,93.7,23.9,42.4
1982,2,134,154.2,157.8,164,18.6,243,308,134,177.5,337,410.1,118.8135931,280.7939099,195,24.5,182,160,193,88.3,140.5,169.8597568,160,107.9,185.4,191.5,212.1,173,372,155.2,305.2,259.8,212.6,23.5,30
1982,3,271,142.8,111.9,139,8,344.4,405,13.7,288,224,266.8,117.4462594,205.7413793,74,7.9,160,99.1,95,202.2,85.3,163.7624479,75,93.4,129.1,78.2,108.2,65,377,281.8,453.5,259.2,92.8,18.7,31.4
1982,4,251,367.4,427.2,344,28.8,314.1,399,141,286.4,314,311.8,256.2136199,359.9909688,208,32.9,342,248,287.5,257.8,221.6,328.9227003,234.3,191.5,172.5,150.9,210.3,191,461,263.3,475.5,372.3,294.2,32.2,37.7
1982,5,129,144.5,361.9,436,34.2,508.4,183,11.8,282.5,288,317,258.9428004,365.6174104,348,35.9,368,239.5,347.9,235.8,300.9,341.406087,401.2,334.8,336.4,272.2,278.1,293,486,218,319.4,331.9,242.5,32.6,31.2
1982,6,0,6.8,21,27,0,44.5,13,5.5,3.2,31,67.7,26.06406192,35.37894705,66,1.5,18,31.2,19.8,28.8,14.8,44.00117309,67.5,67.8,52.4,139.8,50.6,72,27,20.2,100.8,0,52.1,16,12.3
1982,7,0,5.3,2.2,0,0,2.7,19,5.7,16,21,5.8,9.308528141,10.20102282,7,0,0.5,0.9,34.1,1.7,39.6,19.54792116,0,2.3,1.9,19,30.2,0,42,12.4,17,0.1,0.1,0,30
1982,8,0,7.6,0,1.135987083,0,0,2,1,0,24,5.5,1.08826831,2.47098922,2,0,0,0.8,0.7,0.8,1.1,10.05201657,10,0.9,5,4.1,40.7,0,18,15.4,11.1,1.8,0,0,6
1982,9,5,50.2,78.8,136.7408883,9.6,183.7,8.2,104,51.7,180,241.9,185.0781819,136.2038119,102,135.3589168,15.3,190.7,187.8,208.1,178.730127,159.9302599,404,274.5,201.3,252.5,245.3,197,224,123.5,94.2,101.6,103.1152494,118.649452,207
1982,10,239,282.9,273.4,323.2229166,20.9,451.6,43.7,136,496,279,400.9,222.8703737,418.2420616,333,322,29.9,340.9,511.7,296.8,321.0084034,298.401471,150,262.6,277.1544411,213.1,247.4,100,442,337.7,504,332.6,323.8150069,437.9268706,351
1982,11,117,120,162.9,149.1226162,8.1,309.9,11.1,0,154.1,234,187.1,107.741648,196.1790235,118,130,25.9,133.2,197.8,71.6,130.1,204.1400436,36.2,65.8,80.5,114.6,206,196,183,196.1173963,186.1,72.8,200.9,290,271
1982,12,91,100.6,350.7,205.8672667,10.7,216.2,30.9,281.2740163,241.1,280,288.6,143.3857721,320.7799796,252,125,13.9,177.1,128.9,139.5,201.6,235.13841,124.7,87.6,167.1,125.9,125,124,267,197,228.1,161.6,79.5,212,189
1983,1,5,32.7,60.8,66.08085145,71,74.3,139,81,91.2,176,89,39.98151421,122.6984234,204,34,200,56.6,21.2,11.5,32.9,90.37501524,35.3,100.1,87,34.8,45,51,111,91.91614422,107.1,99.7,77.8,205,142
1983,2,15,31.7,103.9,79.58021017,124,53.8,76,96,68.2,111,59.2,48.82170315,73.59238378,54,93,140,35.9,170.4,97.1,68.6,67.24035257,99,63.3,55.4,23.8,32.1,59,162,101.0697957,194.1,57.2,91.3,81,144
1983,3,167,105,166.7,149,196,171.4,179,167.6823303,118.7,193,178.7,92.47650106,178.2387618,274,104,142,209.5,175.9,73.5,93.4,133.054967,81.6,109.7873159,295.6,109.8,184.5,110,188,163.1,201.9,131.6,220.6,185.8553841,168
1983,4,220,180.6,149.3,274,175,547.8,444,562,179.7,333,414.6,294.4183164,430.8987644,301,317,317,348.1,506.4,231.8,315.3,348.6550032,216.7,247.1,321.6,302.8,284.7,257,522,211.9,302.6,468.8,357.2275686,333,464
1983,5,143,109.5,149.4,156.2204723,88.2,217.3,129,161.6493039,154,206,201,157.4149023,211.0131282,355.6,108,289,110.4,193.6,129,112.1,198.833433,110.2,264.1,356.7,147.5,173.1,270,300,81,201.9,173.5,112.3,249,288
1983,6,4,32.5,61.1,50.92837885,125,62.4,97,30,58.7,42,44.5,26.92991473,47.81843392,12.7,46,35,16.6,13.7,7.5,4.3,57,31.5,5.3,14.3,73.1,113.6,77,67,62.9,83.3,12.2,43.6,65,97
1983,7,5,87,25.2,26.6161047,36.5,11.7,6,23,3.4,53,19.9,25.37984657,28.59111174,26.8,3,42,4.7,39.7,15.6,28,11,63.4,51.9,48.8,89.4,84.7,88,25,13.9,17.1,12.8,14,26,78
1983,8,0,20.6,9,11.84492204,4.6,6.5,10,36,26.6,32,16.9,21.61531963,15.72939327,24,0,0,4.1,10.4,11.1,37.9,5,9.7,10,12.1,39.5,81.6,0,11,5,2,3.2,4.6,1,13
1983,9,13.97341658,20.2,62.3,67.14861184,104,97.9,63,34,121.5,64,128.7,55.82763576,62,118,9,82,46,111.2,127.3,62.7,29,81.5,141.6,122.4,254.2,158,163.5,14,17.4,20.2,49.3,3.1,38,53
1983,10,87,99.9,153.5,175.0238277,162.1,151.9,283,112,698.6,248,216.4,134.8465697,297.3,142.7,121,169,132.8,224.3,114.8,107.9,106,94.5,125.7,262.4,199.7,147.3,147,246,320.1,245.9,81.3,102.2,154,318
1983,11,147,254.7,99.1,86,152.9,374.4,222,84,213.1,247,275.9,109.1022602,154.8,226,117.0063723,145,70.1,152.5,107,144.3,190.3,255.2,95.3,147.4,274.6,72.2,56,184,228.6,239.5,85.7,100.6,284,207
1983,12,282,216.4,197.3,238,201.9,352.3,264,141,339.5,182,285.2,136.6312908,235.9,228,42,151,204.2,151.7,134.5,88.3,350.3,67.5,105.4,172.5,126.9,266.4,83,239,265.1,322.4,191.3,269.6,449,166
1984,1,121,218.3,120.6995441,122,104.8,484.5,310.2,208,220,352,235.2,67.42623333,304.7,118,71,106,91.92213099,46.4,139.7,55.2,78.2,21.5,65.8,87.1,54.7,56.9,3,363,289.3,374.9,81.8,139.2,238,314
1984,2,138,146.3,204.2830468,312,210.9,417.9,286,339,177.2,109,242.1,138.7679871,180.3,267,199,351,222.4950718,286.3,240.9,290.1,258.7,238.1,135.1,201.4,152.2,210.2,149,248,211.7,327.2,311.1,237.33095,403,426
1984,3,74,54.1,162.9191163,108,243.3,105.3,186,211,155.4371665,184,115.9,90.38169961,101.9,141,121,169,131.3752018,123.1,80.4,64.7,66.9,17.5,62.8,36.9,128.3,152.8,60,315,147,223,291,163,182,182
1984,4,162.3296074,90.1,165.1287614,295,227.4,162.3,286,160,201.3931271,137,298.8,189.2944614,388.3,285,145,264,150.468787,285.4,182.4,197.4,170.8,141.0649653,150.2,196,177.1,140.3,189,383,312.1,280.2,237,256.4,349,305
1984,5,182,150.7,334,392,239.7,336.2,268,418,240.4,282,285.3,231.0474548,319.6,492,234,364,254.9368706,415.7,321.7,298.4,328.2,114.5,280.6,228.6,385.4,276.7,185,333,292.7,263.1,326.7,586.2,312,336
1984,6,17,21.8,88.6,31,88.9,95,86,207,76.7,65,61.3,77.53739626,172.6,142,81,90,108.3153476,77.4,70.1,114.8509178,80.5,72,162.6,364.6,117.3,133.1,157,156,67.1,51.9,21.7,143.9,79,207
1984,7,8,52.2,68.15972549,87.42701757,94.4,33.8,122,135,91.1,96,71.1,15,108.2,117,51,125,86.67934835,109.5,132.4,67.36621434,74.3,217,81.3,159.5,144.4,97,90,148,202.3,142.1,168.9,112.4,128,272
1984,8,49,105.9,124.154584,128.142268,125.1,59.1,235,50,219.2,163,171,49,141.3,300,135,108,91.41032008,158.5,104.6,89.4145068,51,192,168.6,147.5,180.5,209.7,192,141,164.1,98.7,134,106.1,253,289
1984,9,235,328.7,238.3786307,238.541912,184.4,421.3,357,166,199.6,142,212.3,216,239.6,191,140,486,292.6434111,198.6,321,265.4,202,285,193.6,178.9,371.2,260.4,195,262,268.4,324.5,325.3,189.3,287,319
1984,10,185,276.7,248.9892781,179,236.7,321.4,460,196,296.2,196,308.3,78,404.2,186,110,307,172.4055917,129.1,57.7,126.6,80,134.3,93.1,151.2,192,228.2,86,451,330.8,348.4,299.2481916,241.1,549,332
1984,11,208,138.1,184.9439646,214.7842398,124.8,286.1,297,245,216.6,237,171.3,143.7,303.7,284,155,188,171.696908,203.9,180.7,270.2,177.8,210,267,288.7,158.5,250.2,160,338,269.2,503.7,123.4,147.5,352,245
1984,12,79,142.9,178.1182153,167.0070868,57,117.3,219,343,249,106,128.5,41,241,144,93,225,131.7022528,109,135.9,109.3407891,101.4,103,116.1,77.51704302,76.7,65.9,227,306,98.4,172.8,128.9,131.1,256,286
1985,1,18,10.5,0,0,15.4,14.6,27,149,3.6,176,48.5,0,11.9,17,0,0,0,34.5,0,0,3.4,18,9.5,16.6,38.3,45.6,2,65,46.10290724,63.7,14.1,1.7,53,272
1985,2,16,103.5,46.7,47,50,44.3,12,51.32463748,84.7,90,14.5,21,65.6,21.2,27,40,39.2,29.7,41.2,25.2,80,115,20.9,43.8,86.8,43.9,43,21,42.45586282,19.5,33.2,29.8,68,67
1985,3,156,124.6,171.5,79,58.9,154.7,184,295,103,226,137.7,17,112.7,99,58.80294174,54,49.1,40.5,35.9,40.1,47.9,35,60.8,168.7,85.2,199.2,115,112,143.2065598,235.9,101.1,49.9,128,176
1985,4,102,94.8,122.6,100,103.3,191,157,312,90.4,195,160.2,163,245.2,196,129.65328,198,100.4,165.3,202,373,196.5,342.6,182.4,211.5,215.2,180.5,173,181,196.3799359,136.4,284.7,223.4,310,365
1985,5,159,86.3,140.2,181.1004714,112.1,206.4,160,229,182.7,140,94.6,179.4792557,229.7,236,206.1847496,272,164.729239,291.3,173.8,160.7,167.5,126,200.1,270.8,115.3,120.6,71,219,156.3622286,124.2,270.5,59.1,235.1760249,272.5377888
1985,6,6,8.9,11.3,21.61096762,6.4,50.65266276,53,156,20.2,26,29.4,32.92560355,40.8,29,10.54017812,49,5.7,17.9,14.6,10.8,14.2,47,50.2,31.9,31.9,81.5,36,58,32.53177176,48.2,37.4,0.5,25,70
1985,7,26,17.3,15.5,4,7,26.4,31,87,25.2,83,65.9,21,119.8,44,40,42,33.71891427,93.8,35.2,35.5,26.4,74,26.9,56.3,114.3,99.9,36,133,36.99520022,39.5,97,16.8,35,285
1985,8,13,36.4,35.3,51,52.4,84.7,36,181,69.3,64,81.3,63,75.4,112,76,40,110.2,119.4,62.1,69.1,87.1,82,136.2,120.5,167.2,132.1,180,60,52.82861954,64,86.4,38.2,42,164
1985,9,120,100.4,351.4,407,326,221.5,425,234,227.2,234,233.9,140,85.1,183,262,168,200.3,223,187.3,210.8,170.2,736,263.1,226.5,284.1,208.8,317,188,219.541889,277.6,202.3,98.7,136.5,209
1985,10,275,182,234.5,228,222.2,505.1,363,372,269.3,242,488.8,135,483,204,109,106,222,282.6,167.2,208.6,284.7,399,262.2,252.6,138.4,215.7,132,432,305.339482,364.7,193.8,215.9,198.5,164
1985,11,185,118.3,133.8,196,128,315.6,425,320,219.9,171,205.9,66,200,167,165,108,218.7,164.9,95.9,79.8,187.1,90.05917551,48.8,115.2,43.6,141.8,84.34823888,259,247.1979475,381.7,227.8,110.7,183,284.1798372
1985,12,134,125.3,31.6,54,93.6,183.5,228,353.5,121.9,78,116.6,21,119.8,47,130,17,75.8,3.1,22.7,5.2,70.6,0,6.8,41.6,3.1,33.4,0,295,199.1373074,403.3,103.7,105.9,155,114
1986,1,78.18891327,68.8,109.5,149,226.3,183.5,121,216,290.8,175,115.8,116,189.2,114,50,150,92.64841163,163.4,121.6,194.8,138.4,119,68,143.3,89,135.9,143,125,122.3559358,152,31.6,120,77,180
1986,2,185.5049204,127.4,151.5,165,55.5,268.5,267,147,146.5,288,192.9,73,197.3,229,104,257,191.6305593,259.9,164.4,334.2,245.9,111,135.4,154.4,112.8,76.2,157,293,190.7833551,278.6,112.3,151.2510569,226,235
1986,3,159.7212508,212.9,87.2,112,64.6,193.3,464,436,248,158,397.6,39,261.6,141,42,231,129.9641848,70,115.2,125.6,99,223,154.3,139.3,200.4,66,64,285,210.4565614,198.7,140,69.6,275,306
1986,4,156.0613699,88.1,251.9498053,321,306.6,332.1,361,408,362,273,412.1,257.9,381,309,301,315,301.4437388,370.6,226.4,508.1,202.3,278,332.5,374.2,289,218.7,252.2,480,300.2413962,318,302.6,309.4,360.4,400
1986,5,85.48428188,84.9,203.9,145,196.7730564,148.9,237,570,199.8,262,171.1,134.3,308.3,253,241,372,207.5218309,188.4,231.1,161.3,194.9,210.506872,152.4,139.3,268.5,207,218,292,239.6745141,369.9,203.9,108.7,313.5,319
1986,6,23.23208146,38.6,58.5,81,35.97605451,50.3,63,185,90,84,43.9,71.5,114.8,160,65,76,62.67782752,124.7,100.3,128.5,41.3,95.16400606,80.5,96.8,143.6,100.6,301,200,61.55709823,122.4,27.7,33.5,35,107
1986,7,0,3,0.2,0,0,8.8,1,33,3.3,40,4.8,2,2.2,0,9,11,0,0,1.9,1.3,12.2,0,2.3,2,1.1,0,0,13,6.969857007,5.7,0,0,0,3
1986,8,0,13.2,59.7,5.5,35,20.4,2,17,29,46,39.6,110,83.4,78,127,66,44.04947086,53.9,37.7,84.2,66.3,85,113.5,95.4,46.2,93.5,57,48,44.85681668,26.4,27.9,121.1,70,118
1986,9,69.88512869,97.7,171.6,12.1,108.1,83.6,43,119,66.3,115,173.4,79.2,80.7,133,199,173,160.7202927,105.8,126.1,112.1,65.5,15,113.9,146.4540612,25.1,116.4,28,161,166.3375543,190.7,80.9,93.8,168,185
1986,10,416.100027,273.9,351.3,39.6,240.4,579,489,329,296.7,575,384.6,203.5,365.1,427,175,258.1,203.0933529,166.1,210.3,279.2,253.7,46.2,309.6,345.6,359.9,208.6,296,530,460.2309407,434.2,282.5,192.6,396,477
1986,11,96.599347,85.8,167.3,141.3623009,206.3,77.7,146,179,118.3,189,159.5,199.9,101.4,132,109,145,120.4480665,32.4,48,88.6,108,49,29.9,102.1,62.8,28.9,38,81,222.3821101,176.2,188.4,159.7,246,135
1986,12,82.40494505,220.4,183.3,65,89.9,41,143,143,19.7,79,84.9,19.6,62.2,123,71,100,61.2687303,134.4,47.7,68.5,40.8,59,63.4,61.1,50.1,20.7,39,142,139.3322918,202.7,106.1,61.3,131,265
1987,1,139,174.4,49.8,40,25.13910893,136.2,75,40,100.2,47,56.4,32.9,126.1,77,29,97,17.16757225,19.8,20.10339505,30.2,76.8,46,63.2,32.4,15.4,51,21,207,164.5255788,190.1,82.2,87.7,211,125
1987,2,52.8390569,27.3,7.2,83,15,85.4,36,42,27,23,58.6,73.6,89.4,30,30,58,55.85768357,53.7,84.5,54.3,89.3,115,57.7,47.7,99.81477631,81.5,125,83,61.11011812,41.1,5.9,57.1,80,25
1987,3,75,75.5,36,18,61.1,142.9,160,212.947304,195.2,272,237.5,27,78.6,84,82,68,84.15982345,31.4,91.5,60,153.5,195,76.3,72.5,104.5,85.5,153,200,194.2260652,204.1,200.3,63.7,225,253.0224273
1987,4,122.2581351,117.5,126.5,132,77.3,149.3,189.0715611,187.8446328,89.1,198,172.7,152.2,201.5,85,233,75,60.1,123.7,203.8,156.2,179.2,145,145.8282261,105.1,195.4976126,180.7,184,253,140.8,259.9,186.9,21.7,235,368
1987,5,196,110.1,219.6,307,261.8,320.9,358,544,197.7,212,155,233.7,355,145,172,296.7,207.2,130.9,180.7,210.2,243.8,266,159.1365692,210.2,123.2,117.3,122,232,121.8,199,182.2,81.4,179,187.0035797
1987,6,13,10.7,8.4,43,9.4,27.6,25,87,8,61,17.1,33.4,17.2,11,40,63,24.4,9.2,57.3,51.1,46,30,42.46476776,40,25.8,82.5,27,33,13,28.5,33.3,31,60,26
1987,7,16,12.5,88.3,55,81.5,59,88.6,175,154.9,75,117.5,75.9,70.7,147,81,95,43.7,102.6,51.7,64.1,56.6,75,168.5112444,207.3,122.9,81.6,193,100,78.5,85.6,251,97,80,197
1987,8,0,5.8,0.6,13,0,16.7,46.31860381,99,17,49,26.5,108.1,15.5,215,98,0,22.1,50.7,41.5,73.1,139,86,117.9885817,162.5,132.2,82.6,150,81,12.5,20,13.6,33,26,169
1987,9,29,25.3,77.9,80,66.1,110.1,153.2254254,130,55.9,204,95.1,124.2,79.6,106,91,62,63.8,34.6,96.1,88.8,111.5,184,115.2606661,87.5,193.8,289.8,116,77,76.8,82.9,55,48,121,81
1987,10,295,478.4,367.6,340,361.7,310.6,399,484,348.1,219,334.6,159.1,355,263,327,193,192,172.7,238.3,314.6,318,411,250.8359878,296.7,278,284,241,403,280,368.4,476.9,434,371,347
1987,11,200,214.9,264.3,193,144.2,209.2,216,320,22.9,217,402.7,106.8,278.7,81,142,138,128.7,107.4,37.6,54.9,52.5,65,90.44831344,76.7,87.97799788,62,7,252,256.6,323.8,236.8,314,200,267
1987,12,105,112.7,70.9,133,70.7,136.2,111,119,11.9,95,35.9,157.5,156.8,67,70,288,72.8,33.3,83,86,102.5,98,53.03253549,48.1,225.9,167,57,45,178.5,167.6,148.7,88,210,120
1988,1,100,53.4,29.1,41,77.2,143.5,150,203,17.8,115,179.5,40.6,172,54,124,68,25.51755165,31.6,36.8,16.9,122.6,24,46.5,66.4,65.4,17,98,259,236.7,360.2,58,46,84,202
1988,2,34,169.4,46.4,54,59.8,126.9,99.23766314,97,15.1,192,97,66.6,168.1,131,42,54,41,14.4,53.3,43,136.3,185,33.3,23.8,90.2,59,147,156,205.9,202,54.9,83,55,108
1988,3,43,21.2,8.2,20,23.8,17.3,99.65022158,81,153.6,111,43.6,9.3,27.5,61,20,35,0.7,17.1,4.8,0.2,4.8,13,3,18.4,27.6,119,10,95,9.9,89.8,0.8,2,0,53
1988,4,135.0647148,193.8,95.4,205,176.7,378.2,251.3345242,313,298.3,328,328.3,216.1,535.9,325,114,353,208.5,118.9,166.7,213.6,398.2,254,292.7,268.7,267.7,129,249,359,36.1,237.4,146.9,157,198,311
1988,5,32.77927116,16.2,110.1,84,124.1,169.7,66,147,92.5,149,48,58.9,119.7,117,67,146,116.2,64.5,91.6,65.4,118.1,135,107.6565035,159.4,117,241,104,298,71,93.5,87.9,50,110,92
